source_file,title,description,url
page-11.html,100M EEZ Buffer Cook Islands,Forum Fisheries Agency (FFA) Dataset,https://pacificdata.org/data/dataset/100m-eez-buffer-cook-islands
page-11.html,100M EEZ Buffer Tokelau,Forum Fisheries Agency (FFA) Dataset,https://pacificdata.org/data/dataset/100m-eez-buffer-tokelau
page-11.html,Adaptation to Climate Change,Cook Islands Environment Data Portal Dataset,https://pacificdata.org/data/dataset/adaptation-to-climate-change064e426b-58a9-4f9f-ad01-99c0501f7924
page-01.html,Agricultural Crops in Samoa,"SPC Geoscience, Energy and Maritime Division (GEM) Dataset",https://pacificdata.org/data/dataset/pcrafi-ii-samoa-crops-152
page-01.html,Agricultural Crops in Solomon Islands,"SPC Geoscience, Energy and Maritime Division (GEM) Dataset",https://pacificdata.org/data/dataset/pcrafi-ii-solomon-crops-160
page-01.html,Agricultural Crops in Vanuatu,"SPC Geoscience, Energy and Maritime Division (GEM) Dataset",https://pacificdata.org/data/dataset/pcrafi-ii-vanuatu-crops-9
page-03.html,Agricultural Crops of Tonga,"SPC Geoscience, Energy and Maritime Division (GEM) Dataset",https://pacificdata.org/data/dataset/pcrafi-ii-tonga-crops-355
page-09.html,Aires protégées en Province Nord,Open Data Nouvelle-Calédonie Dataset,https://pacificdata.org/data/dataset/aires-protegees-en-province-nord-yv8r11
page-10.html,Aires protégées en Province Sud,Open Data Nouvelle-Calédonie Dataset,https://pacificdata.org/data/dataset/aires-protegees-en-province-sud-kyanq4
page-05.html,Airport Exposure Data on Cook Islands,"SPC Geoscience, Energy and Maritime Division (GEM) Dataset",https://pacificdata.org/data/dataset/ck-aiports-2024-857
page-05.html,Airport Exposure Data on Samoa,"SPC Geoscience, Energy and Maritime Division (GEM) Dataset",https://pacificdata.org/data/dataset/ws-aiports-2024-858
page-05.html,Airport Exposure Data on Solomon Islands,"SPC Geoscience, Energy and Maritime Division (GEM) Dataset",https://pacificdata.org/data/dataset/sb-aiports-2024-854
page-05.html,Airport Exposure Data on Vanuatu,"SPC Geoscience, Energy and Maritime Division (GEM) Dataset",https://pacificdata.org/data/dataset/vu-aiports-2024-856
page-06.html,Airport Replacement Value on Samoa,"SPC Geoscience, Energy and Maritime Division (GEM) Dataset",https://pacificdata.org/data/dataset/ws-airport-values-1010
page-02.html,Airports in Tonga,"SPC Geoscience, Energy and Maritime Division (GEM) Dataset",https://pacificdata.org/data/dataset/pcrafi-ii-tonga-airport-222
page-08.html,Annual Average Loss at district level for Samoa,"SPC Geoscience, Energy and Maritime Division (GEM) Dataset",https://pacificdata.org/data/dataset/ws-district-aal-465
page-08.html,Annual Average Loss at electoral boundary level for Cook Islands,"SPC Geoscience, Energy and Maritime Division (GEM) Dataset",https://pacificdata.org/data/dataset/ck-electoralboundary-aal-382
page-07.html,Annual Average Loss at village level Niue,"SPC Geoscience, Energy and Maritime Division (GEM) Dataset",https://pacificdata.org/data/dataset/nu-village-aal-275
page-08.html,Annual Average Loss at village level for Fiji,"SPC Geoscience, Energy and Maritime Division (GEM) Dataset",https://pacificdata.org/data/dataset/fj-tikina-aal-447
page-07.html,Annual Average Loss for Federated States of Micronesia,"SPC Geoscience, Energy and Maritime Division (GEM) Dataset",https://pacificdata.org/data/dataset/fm-municipality-aal-44
page-07.html,Annual Average Loss for Marshall Islands,"SPC Geoscience, Energy and Maritime Division (GEM) Dataset",https://pacificdata.org/data/dataset/mh-atoll-aal-142
page-07.html,Annual Average Loss for Palau,"SPC Geoscience, Energy and Maritime Division (GEM) Dataset",https://pacificdata.org/data/dataset/pw-state-aal-168
page-07.html,Annual Average Loss for Papua New Guinea,"SPC Geoscience, Energy and Maritime Division (GEM) Dataset",https://pacificdata.org/data/dataset/pg-localgovernmentlevel-aal-161
page-08.html,Annual Average Loss for Solomon Islands,"SPC Geoscience, Energy and Maritime Division (GEM) Dataset",https://pacificdata.org/data/dataset/sb-ward-aal-365
page-07.html,Annual Average Loss for Timor-Leste,"SPC Geoscience, Energy and Maritime Division (GEM) Dataset",https://pacificdata.org/data/dataset/tl-subdistrict-aal-131
page-07.html,Annual Average Loss for Tonga,"SPC Geoscience, Energy and Maritime Division (GEM) Dataset",https://pacificdata.org/data/dataset/to-village-aal-151
page-07.html,Annual Average Loss for Tuvalu,"SPC Geoscience, Energy and Maritime Division (GEM) Dataset",https://pacificdata.org/data/dataset/tv-island-aal-70
page-07.html,Annual Average Loss for Vanuatu,"SPC Geoscience, Energy and Maritime Division (GEM) Dataset",https://pacificdata.org/data/dataset/vu-areacouncil-aal-312
page-07.html,Annual Average Loss from Tropical Cyclones and Earthquakes at district level for Papua New Guinea,"SPC Geoscience, Energy and Maritime Division (GEM) Dataset",https://pacificdata.org/data/dataset/pg-localgovernmentlevel-aal-tc-eq-267
page-07.html,Annual Average Loss from Tropical Cyclones and Earthquakes at district level for Samoa,"SPC Geoscience, Energy and Maritime Division (GEM) Dataset",https://pacificdata.org/data/dataset/ws-district-aal-tc-eq-259
page-07.html,Annual Average Loss from Tropical Cyclones and Earthquakes at village level for Nauru,"SPC Geoscience, Energy and Maritime Division (GEM) Dataset",https://pacificdata.org/data/dataset/nr-district-aal-tc-eq-299
page-08.html,Annual Average Loss from Tropical Cyclones and Earthquakes at village level for Niue,"SPC Geoscience, Energy and Maritime Division (GEM) Dataset",https://pacificdata.org/data/dataset/nu-village-aal-tc-eq-493
page-07.html,Annual Average Loss from Tropical Cyclones and Earthquakes at village level for Tonga,"SPC Geoscience, Energy and Maritime Division (GEM) Dataset",https://pacificdata.org/data/dataset/to-village-aal-tc-eq-166
page-08.html,Annual Average Loss from Tropical Cyclones and Earthquakes at ward level for Solomon Islands,"SPC Geoscience, Energy and Maritime Division (GEM) Dataset",https://pacificdata.org/data/dataset/sb-ward-aal-tc-eq-400
page-07.html,Annual Average Loss from Tropical Cyclones and Earthquakes for Federated States of Micronesia,"SPC Geoscience, Energy and Maritime Division (GEM) Dataset",https://pacificdata.org/data/dataset/fm-municipality-aal-tc-eq-256
page-08.html,Annual Average Loss from Tropical Cyclones and Earthquakes for Fiji,"SPC Geoscience, Energy and Maritime Division (GEM) Dataset",https://pacificdata.org/data/dataset/fj-tikina-aal-tc-eq-486
page-08.html,Annual Average Loss from Tropical Cyclones and Earthquakes for Kiribati,"SPC Geoscience, Energy and Maritime Division (GEM) Dataset",https://pacificdata.org/data/dataset/ki-island-aal-tc-eq-1751
page-08.html,Annual Average Loss from Tropical Cyclones and Earthquakes for Marshall Islands,"SPC Geoscience, Energy and Maritime Division (GEM) Dataset",https://pacificdata.org/data/dataset/mh-atoll-aal-tc-eq-341
page-08.html,Annual Average Loss from Tropical Cyclones and Earthquakes for Palau,"SPC Geoscience, Energy and Maritime Division (GEM) Dataset",https://pacificdata.org/data/dataset/pw-state-aal-tc-eq-367
page-07.html,Annual Average Loss from Tropical Cyclones and Earthquakes for Timor-Leste,"SPC Geoscience, Energy and Maritime Division (GEM) Dataset",https://pacificdata.org/data/dataset/tl-subdistrict-aal-tc-eq-91
page-08.html,Annual Average Loss from Tropical Cyclones and Earthquakes for Tuvalu,"SPC Geoscience, Energy and Maritime Division (GEM) Dataset",https://pacificdata.org/data/dataset/tv-island-aal-tc-eq-366
page-10.html,Articles de service-public.nc,Open Data Nouvelle-Calédonie Dataset,https://pacificdata.org/data/dataset/spnc-article-iknd1i
page-05.html,Bridge Exposure Data on Cook Islands,"SPC Geoscience, Energy and Maritime Division (GEM) Dataset",https://pacificdata.org/data/dataset/ck-bridge-2024-859
page-05.html,Bridge Exposure Data on Solomon Islands,"SPC Geoscience, Energy and Maritime Division (GEM) Dataset",https://pacificdata.org/data/dataset/sb-bridge-2024-862
page-05.html,Bridge Exposure Data on Tonga,"SPC Geoscience, Energy and Maritime Division (GEM) Dataset",https://pacificdata.org/data/dataset/to-bridge-2024-860
page-05.html,Bridge Exposure Data on Vanuatu,"SPC Geoscience, Energy and Maritime Division (GEM) Dataset",https://pacificdata.org/data/dataset/vu-bridge-2024-861
page-07.html,Bridge Replacement Value on Cook Islands,"SPC Geoscience, Energy and Maritime Division (GEM) Dataset",https://pacificdata.org/data/dataset/cki-bridge-values-1395
page-07.html,Bridge Replacement Value on Samoa,"SPC Geoscience, Energy and Maritime Division (GEM) Dataset",https://pacificdata.org/data/dataset/ws-bridge-values-1011
page-04.html,Bridge Replacement Value on Vanuatu,"SPC Geoscience, Energy and Maritime Division (GEM) Dataset",https://pacificdata.org/data/dataset/vu-bridge-values-768
page-01.html,Bridges in Solomon Islands,"SPC Geoscience, Energy and Maritime Division (GEM) Dataset",https://pacificdata.org/data/dataset/pcrafi-ii-solomon-bridge-63
page-01.html,Bridges in Tonga,"SPC Geoscience, Energy and Maritime Division (GEM) Dataset",https://pacificdata.org/data/dataset/pcrafi-ii-tonga-bridges-54
page-01.html,Bridges in Vanuatu,"SPC Geoscience, Energy and Maritime Division (GEM) Dataset",https://pacificdata.org/data/dataset/pcrafi-ii-vanuatu-bridge-137
page-01.html,Building Footprints for Vanuatu,"SPC Geoscience, Energy and Maritime Division (GEM) Dataset",https://pacificdata.org/data/dataset/pcrafi-ii-vanuatu-buildings-polygon-29
page-04.html,Building Footprints in Guadalcanal,"SPC Geoscience, Energy and Maritime Division (GEM) Dataset",https://pacificdata.org/data/dataset/pcrafi-ii-guadalcanal-buildings-432
page-04.html,Building Footprints in Tonga,"SPC Geoscience, Energy and Maritime Division (GEM) Dataset",https://pacificdata.org/data/dataset/pcrafi-ii-tonga-buildings-475
page-01.html,Building Points for Samoa,"SPC Geoscience, Energy and Maritime Division (GEM) Dataset",https://pacificdata.org/data/dataset/pcrafi-ii-samoa-buildings-points-77
page-03.html,Building Points for Solomon Islands,"SPC Geoscience, Energy and Maritime Division (GEM) Dataset",https://pacificdata.org/data/dataset/pcrafi-ii-solomon-building-points-404
page-03.html,Building Points for Vanuatu,"SPC Geoscience, Energy and Maritime Division (GEM) Dataset",https://pacificdata.org/data/dataset/pcrafi-ii-vanuatu-buildings-points-300
page-08.html,Building impact from coastal inundation on Tuvalu,"SPC Geoscience, Energy and Maritime Division (GEM) Dataset",https://pacificdata.org/data/dataset/full-probablistic-slr-results-building-impact-tuvalu-1368
page-03.html,Buildings Exposure in Fiji,"SPC Geoscience, Energy and Maritime Division (GEM) Dataset",https://pacificdata.org/data/dataset/fj-bldexp-verified-171
page-08.html,Buildings impact from coastal inundation on Tonga,"SPC Geoscience, Energy and Maritime Division (GEM) Dataset",https://pacificdata.org/data/dataset/to-full-probabilistic-slr-buildings-impact-1502
page-02.html,Buildings in Samoa,"SPC Geoscience, Energy and Maritime Division (GEM) Dataset",https://pacificdata.org/data/dataset/pcrafi-ii-samoa-buildings-177
page-10.html,"Catalogue des outils pédagogiques et de sensibilisation ""Eau""",Open Data Nouvelle-Calédonie Dataset,https://pacificdata.org/data/dataset/catalogue-outils-sensibilisation-eau-2bl49t
page-09.html,Catégories de service-public.nc,Open Data Nouvelle-Calédonie Dataset,https://pacificdata.org/data/dataset/spnc-categorie-lkg349
page-08.html,Coastal flood maps Tuvalu ARI100 SLR 1.0,"SPC Geoscience, Energy and Maritime Division (GEM) Dataset",https://pacificdata.org/data/dataset/tv-coastalfloodmap-ari100-s10-580
page-08.html,Coastal flood maps Tuvalu ARI100 SLR 1.5,"SPC Geoscience, Energy and Maritime Division (GEM) Dataset",https://pacificdata.org/data/dataset/tv-coastalfloodmap-ari100-s15-561
page-08.html,Coastal flood maps on Tuvalu ARI100 SLR 0.0,"SPC Geoscience, Energy and Maritime Division (GEM) Dataset",https://pacificdata.org/data/dataset/tv-coastalfloodmap-ari100-s00-567
page-08.html,Coastal flood maps on Tuvalu ARI100 SLR 0.5,"SPC Geoscience, Energy and Maritime Division (GEM) Dataset",https://pacificdata.org/data/dataset/tv-coastalfloodmap-ari100-s05-569
page-10.html,Comptage des invertébrés de la Province des Iles depuis 2004,Open Data Nouvelle-Calédonie Dataset,https://pacificdata.org/data/dataset/comptage-des-invertebres-de-la-province-des-iles-depuis-2004-9mfwgd
page-09.html,Comptage des poissons de la Province des Iles depuis 2004,Open Data Nouvelle-Calédonie Dataset,https://pacificdata.org/data/dataset/comptage-des-poissons-de-la-province-des-iles-depuis-2004-yx18hi
page-10.html,Comptage des substrats de la Province des Iles depuis 2004,Open Data Nouvelle-Calédonie Dataset,https://pacificdata.org/data/dataset/pil_jdd_substrats-4cf82y
page-09.html,Contacts de service-public.nc,Open Data Nouvelle-Calédonie Dataset,https://pacificdata.org/data/dataset/spnc-contact-8jwd4n
page-11.html,Cook Islands 50 Nautical Mile Zone,Forum Fisheries Agency (FFA) Dataset,https://pacificdata.org/data/dataset/cook-islands-mpa
page-04.html,Crop Asset Replacement Value on Cook Islands,"SPC Geoscience, Energy and Maritime Division (GEM) Dataset",https://pacificdata.org/data/dataset/cook-islands-agriculture-exposure-data-835
page-06.html,Crop Asset Replacement Value on Samoa,"SPC Geoscience, Energy and Maritime Division (GEM) Dataset",https://pacificdata.org/data/dataset/samoa-agriculture-exposure-data-910
page-04.html,Crop Asset Replacement Value on Solomon Islands,"SPC Geoscience, Energy and Maritime Division (GEM) Dataset",https://pacificdata.org/data/dataset/solomon-islands-crops-replacement-value2024-838
page-04.html,Crop Asset Replacement Value on Tonga,"SPC Geoscience, Energy and Maritime Division (GEM) Dataset",https://pacificdata.org/data/dataset/tonga-crops-replacement-value2024-839
page-04.html,Crop Asset Replacement Value on Vanuatu,"SPC Geoscience, Energy and Maritime Division (GEM) Dataset",https://pacificdata.org/data/dataset/vanuatu-crops-replacement-value2024-836
page-09.html,Data on ODS consumption in RMI,Republic of Marshall Islands Environment Data Portal Dataset,https://pacificdata.org/data/dataset/data-on-ods-consumption-in-rmic55187ce-8536-4603-bedc-6d83a6bc5d34
page-02.html,Electricity Assets in Samoa,"SPC Geoscience, Energy and Maritime Division (GEM) Dataset",https://pacificdata.org/data/dataset/pcrafi-ii-samoa-electricity-257
page-03.html,Electricity Assets in Solomon Islands,"SPC Geoscience, Energy and Maritime Division (GEM) Dataset",https://pacificdata.org/data/dataset/pcrafi-ii-solomon-electricity-359
page-03.html,Electricity Assets in Tonga,"SPC Geoscience, Energy and Maritime Division (GEM) Dataset",https://pacificdata.org/data/dataset/pcrafi-ii-tonga-electricity-305
page-04.html,Electricity Assets in Vanuatu,"SPC Geoscience, Energy and Maritime Division (GEM) Dataset",https://pacificdata.org/data/dataset/pcrafi-ii-vanuatu-electricity-456
page-05.html,Electricity on Samoa in 2024,"SPC Geoscience, Energy and Maritime Division (GEM) Dataset",https://pacificdata.org/data/dataset/ws-power-poles-2024-882
page-05.html,Electricity on Samoa in 2024,"SPC Geoscience, Energy and Maritime Division (GEM) Dataset",https://pacificdata.org/data/dataset/ws-power-network-2024-885
page-05.html,Electricity on Tonga in 2024,"SPC Geoscience, Energy and Maritime Division (GEM) Dataset",https://pacificdata.org/data/dataset/to-power-poles-2024-881
page-05.html,Electricity on Tonga in 2024,"SPC Geoscience, Energy and Maritime Division (GEM) Dataset",https://pacificdata.org/data/dataset/to-power-network-2024-884
page-05.html,Electricity on Vanuatu in 2024,"SPC Geoscience, Energy and Maritime Division (GEM) Dataset",https://pacificdata.org/data/dataset/vu-power-poles-2024-880
page-02.html,Federated States of Micronesia Exclusive Economic Zone (200 Nautical Miles),FSM National Oceanic Resource Management Authority (NORMA) Dataset,https://pacificdata.org/data/dataset/federated-states-of-micronesia-exclusive-economic-zone-200-nautical-miles
page-10.html,Fiches pratiques de service-public.nc,Open Data Nouvelle-Calédonie Dataset,https://pacificdata.org/data/dataset/spnc-fiche-pratique-b0x7xc
page-11.html,Fiji Land Use Land Cover Labels,Livelihoods and Landscapes Project Dataset,https://pacificdata.org/data/dataset/fiji-land-use-land-cover-labels
page-11.html,Fiji Land Use Land Cover Test Dataset,Livelihoods and Landscapes Project Dataset,https://pacificdata.org/data/dataset/fiji-land-use-land-cover-test-dataset
page-01.html,Fuel Infrastructure in Samoa,"SPC Geoscience, Energy and Maritime Division (GEM) Dataset",https://pacificdata.org/data/dataset/ws-fuel-facility-2024-865
page-01.html,Fuel Infrastructure in Samoa,"SPC Geoscience, Energy and Maritime Division (GEM) Dataset",https://pacificdata.org/data/dataset/pcrafi-ii-samoa-fuel-148
page-03.html,Fuel Infrastructure in Vanuatu,"SPC Geoscience, Energy and Maritime Division (GEM) Dataset",https://pacificdata.org/data/dataset/pcrafi-ii-vanuatu-fuel-396
page-07.html,Fuel Replacement Value on Samoa,"SPC Geoscience, Energy and Maritime Division (GEM) Dataset",https://pacificdata.org/data/dataset/ws-fuel-values-1012
page-11.html,GCF RTP Indicative workplan,"SPC Fisheries, Aquaculture and Marine Ecosystems division (FAME) Dataset",https://pacificdata.org/data/dataset/gcf-rtp-indicative-workplan
page-10.html,GHG Emmisions by Agriculture and its sub-sectors 1990 - 2016,Solomon Islands Environment Data Portal Dataset,https://pacificdata.org/data/dataset/ghg-emmisions-by-agriculture-and-its-sub-sectors-1990-20160f70409f-6b01-4513-925f-0993740e9d5b
page-11.html,Gridded Bathymetry Data,General Bathymetric Chart of the Oceans (GEBCO) Dataset,https://pacificdata.org/data/dataset/gebco-global-bathymetric-grid
page-09.html,Ilôts en Province Sud,Open Data Nouvelle-Calédonie Dataset,https://pacificdata.org/data/dataset/ilots-en-province-sud-g4hmig
page-06.html,Infrastructure Replacement Value by District on Samoa,"SPC Geoscience, Energy and Maritime Division (GEM) Dataset",https://pacificdata.org/data/dataset/pcrafi-12-ws-adm2-infrastructure-totalvalue2024-1002
page-04.html,Infrastructure Replacement Value on Cook Islands,"SPC Geoscience, Energy and Maritime Division (GEM) Dataset",https://pacificdata.org/data/dataset/cook-islands-infrastructure-replacement-value2024-850
page-05.html,Infrastructure Replacement Value on Samoa,"SPC Geoscience, Energy and Maritime Division (GEM) Dataset",https://pacificdata.org/data/dataset/samoa-infrastructure-replacement-value2024-851
page-05.html,Infrastructure Replacement Value on Solomon Islands,"SPC Geoscience, Energy and Maritime Division (GEM) Dataset",https://pacificdata.org/data/dataset/solomon-islands-infrastructure-replacementvalue2024-853
page-04.html,Infrastructure Replacement Value on Tonga,"SPC Geoscience, Energy and Maritime Division (GEM) Dataset",https://pacificdata.org/data/dataset/tonga-infrastructure-replacement-value2024-849
page-05.html,Infrastructure Replacement Value on Vanuatu,"SPC Geoscience, Energy and Maritime Division (GEM) Dataset",https://pacificdata.org/data/dataset/vanuatu-infrastructure-replacement-value2024-852
page-10.html,Installations classées pour la protection de l’environnement (ICPE) de la Province Sud,Open Data Nouvelle-Calédonie Dataset,https://pacificdata.org/data/dataset/icpe-province-sud-uw48ts
page-10.html,Liens utiles de service-public.nc,Open Data Nouvelle-Calédonie Dataset,https://pacificdata.org/data/dataset/spnc-lien-utile-7j2m2g
page-10.html,Liste des poissons d'ornement d'eau douce pour aquarium autorisés et interdits à l'importation,Open Data Nouvelle-Calédonie Dataset,https://pacificdata.org/data/dataset/poissons_ornement_aquarium-8l1108
page-10.html,"Liste des végétaux destinés à la plantation, autorisés et interdits à l’importation en Nouvelle-Calédonie",Open Data Nouvelle-Calédonie Dataset,https://pacificdata.org/data/dataset/vegetaux_destines_a_la_plantation_autorises_et_interdits_a_l_importation_en_nc-fmpvsi
page-09.html,"Livestock : Piglet Distribution on Outer Islands, 2015",Republic of Marshall Islands Environment Data Portal Dataset,https://pacificdata.org/data/dataset/livestock-piglet-distribution-on-outer-islands-201527da13d6-da8b-4095-ae3f-e761cf05fb94
page-01.html,Livestock in Samoa,"SPC Geoscience, Energy and Maritime Division (GEM) Dataset",https://pacificdata.org/data/dataset/pcrafi-ii-samoa-livestock-121
page-01.html,Livestock in Solomon Islands,"SPC Geoscience, Energy and Maritime Division (GEM) Dataset",https://pacificdata.org/data/dataset/pcrafi-ii-solomon-livestock-115
page-03.html,Livestock in Tonga,"SPC Geoscience, Energy and Maritime Division (GEM) Dataset",https://pacificdata.org/data/dataset/pcrafi-ii-vanuatu-livestock-352
page-11.html,Millennium Coral Reef Mapping - Vanuatu,Institute for Marine Remote Sensing Dataset,https://pacificdata.org/data/dataset/millennium-coral-reef-mapping-vanuatu
page-02.html,National Statement for Tropical Cyclone Season 2018 - 2019,Samoa Environment Data Portal Dataset,https://pacificdata.org/data/dataset/national-statement-for-tropical-cyclone-season-2018-2019400f6840-7d6a-45c8-9327-a1bad1f13f7c
page-11.html,Niuafo'ou Rainfall data,Tonga Environment Data Portal Dataset,https://pacificdata.org/data/dataset/niuafoou-rainfall-dataed320ee6-4142-40fc-aa1e-ed70545a507d
page-06.html,Non-residential Building Class Replacement Value on Cook Islands in 2024,"SPC Geoscience, Energy and Maritime Division (GEM) Dataset",https://pacificdata.org/data/dataset/pcrafi-ck-non-residential-bld-class2024-915
page-06.html,Non-residential Building Class Replacement Value on Samoa in 2024,"SPC Geoscience, Energy and Maritime Division (GEM) Dataset",https://pacificdata.org/data/dataset/pcrafi-ws-non-residential-bld-class-2024-923
page-06.html,Non-residential Building Class Replacement Value on Solomon Islands in 2024,"SPC Geoscience, Energy and Maritime Division (GEM) Dataset",https://pacificdata.org/data/dataset/pcrafi-sb-non-residential-bld-class-2024-917
